                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5286,                 2.9716,                 3.2197,                0.79375,                0.64263,                0.71492,                0.28946,                  1.885,                 1.9818,                 2.3707,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.5989,                 1.2777,                 2.0247,                0.92583,                 0.8091,                0.88387,                 0.4388,                 1.6695,                 1.0708,                  2.054,              0.0066422,              0.0066422,              0.0066422
                      3,                 1.4607,                 1.0521,                 1.8469,                0.92551,                0.85087,                0.90852,                0.46639,                 1.6259,                0.95505,                 2.0328,              0.0099315,              0.0099315,              0.0099315
                      4,                 1.3896,                0.93091,                 1.7676,                0.93635,                0.87626,                 0.9318,                0.54554,                 1.4652,                0.80459,                  1.864,               0.009901,               0.009901,               0.009901
                      5,                 1.3407,                0.85342,                 1.7204,                0.96379,                0.89962,                0.94829,                0.59702,                 1.3323,                0.69071,                 1.7683,               0.009868,               0.009868,               0.009868
                      6,                    1.3,                 0.7934,                 1.6788,                0.95091,                0.89949,                 0.9458,                0.57256,                 1.4126,                0.72181,                 1.8289,               0.009835,               0.009835,               0.009835
                      7,                  1.277,                0.76048,                 1.6625,                0.96751,                0.90784,                0.95346,                0.59801,                  1.349,                0.65812,                 1.7632,               0.009802,               0.009802,               0.009802
                      8,                 1.2592,                 0.7382,                 1.6414,                0.96268,                 0.9076,                0.95112,                0.58385,                 1.3668,                0.65065,                 1.7912,               0.009769,               0.009769,               0.009769
                      9,                 1.2459,                0.71815,                 1.6334,                0.97254,                0.91604,                0.95895,                0.62314,                 1.2906,                0.58347,                 1.7087,               0.009736,               0.009736,               0.009736
                     10,                 1.2221,                0.69176,                 1.6173,                0.97119,                0.92308,                0.96157,                0.63485,                 1.2449,                0.54824,                 1.7005,               0.009703,               0.009703,               0.009703
                     11,                  1.216,                 0.6756,                 1.6039,                0.96399,                0.92214,                0.95988,                0.61036,                 1.3203,                0.56273,                 1.7329,                0.00967,                0.00967,                0.00967
                     12,                 1.2115,                0.66383,                 1.6055,                0.96402,                0.93001,                0.96333,                0.62476,                 1.2905,                0.54624,                 1.7211,               0.009637,               0.009637,               0.009637
                     13,                 1.2008,                0.65713,                 1.5942,                0.96306,                 0.9348,                0.96841,                0.63374,                 1.2625,                0.53335,                 1.7002,               0.009604,               0.009604,               0.009604
                     14,                 1.1964,                0.64694,                 1.5831,                0.97205,                0.92998,                0.96551,                0.63917,                 1.2474,                0.52424,                 1.6702,               0.009571,               0.009571,               0.009571
                     15,                 1.1875,                0.63557,                 1.5706,                0.97362,                0.92871,                0.96805,                0.63582,                 1.2733,                0.51787,                 1.6969,               0.009538,               0.009538,               0.009538
                     16,                 1.1796,                0.63072,                 1.5659,                0.96974,                0.93194,                0.96665,                   0.65,                 1.2248,                0.50761,                 1.6518,               0.009505,               0.009505,               0.009505
                     17,                 1.1715,                0.62006,                 1.5594,                0.98043,                0.93668,                0.97048,                0.64676,                 1.2349,                0.50257,                  1.657,               0.009472,               0.009472,               0.009472
